gRPC Response Log
[2025-11-15 20:28] GetAuctions - 0.65 ms
[2025-11-15 20:28] GetAuctions - 0.53 ms
[2025-11-15 20:28] CreateLot - 9.84 ms
[2025-11-15 20:28] GetAuctions - 0.50 ms
[2025-11-15 20:28] GetAuctions - 0.53 ms
[2025-11-15 20:28] GetAuctions - 0.63 ms
[2025-11-15 20:28] GetAuctions - 0.74 ms
[2025-11-15 20:28] GetAuctions - 0.53 ms
[2025-11-15 20:28] GetAuctions - 0.55 ms
[2025-11-18 21:03] Register - 364.93 ms
[2025-11-18 21:03] GetAuctions - 0.46 ms
[2025-11-18 21:03] GetBidsByUser - 0.19 ms
[2025-11-18 21:03] Login - 331.94 ms
[2025-11-18 21:03] GetAuctions - 0.35 ms
[2025-11-18 21:03] GetBidsByUser - 0.18 ms
[2025-11-18 21:03] GetAuctions - 0.48 ms
[2025-11-18 21:03] GetAuctions - 0.53 ms
[2025-11-18 21:03] GetAuctions - 0.45 ms
[2025-11-18 21:03] PlaceBid - 15.01 ms
[2025-11-18 21:03] GetAuctions - 0.65 ms
[2025-11-18 21:03] GetBidsByUser - 0.45 ms
[2025-11-18 21:03] GetAuctions - 0.53 ms
[2025-11-18 21:03] GetAuctions - 0.56 ms
[2025-11-18 21:03] PlaceBid - 8.63 ms
[2025-11-18 21:03] GetAuctions - 0.45 ms
[2025-11-18 21:03] GetBidsByUser - 0.21 ms
[2025-11-18 21:03] GetAuctions - 0.56 ms
[2025-11-18 21:03] GetAuctions - 0.50 ms
[2025-11-18 21:03] GetAuctions - 1.28 ms
[2025-11-18 21:03] GetAuctions - 0.63 ms
[2025-11-18 21:03] CreateLot - 10.76 ms
[2025-11-18 21:03] GetAuctions - 0.58 ms
[2025-11-18 21:03] GetAuctions - 0.90 ms
[2025-11-18 21:03] GetAuctions - 0.51 ms
[2025-11-18 21:03] GetAuctions - 0.62 ms
[2025-11-18 21:03] GetAuctions - 0.36 ms
[2025-11-18 21:04] GetAuctions - 0.66 ms
[2025-11-18 21:04] GetAuctions - 0.56 ms
[2025-11-18 21:04] GetAuctions - 0.55 ms
[2025-11-18 21:04] GetAuctions - 0.66 ms
[2025-11-18 21:04] GetAuctions - 0.63 ms
[2025-11-18 21:04] GetAuctions - 0.79 ms
[2025-11-18 21:04] GetAuctions - 0.55 ms
[2025-11-18 21:04] GetAuctions - 0.53 ms
